City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
201,Zhigansk,RU,2022-11-09 00:45:42,66.7697,123.3711,-10.55,95,100,10.11
202,Kuminskiy,RU,2022-11-09 00:45:42,58.6667,66.5667,22.93,97,80,6.33
203,Samarai,PG,2022-11-09 00:45:43,-10.6167,150.6667,81.73,79,100,9.46
204,Nokia,FI,2022-11-09 00:45:43,61.4667,23.5,32.02,100,100,4.61
205,Ust-Maya,RU,2022-11-09 00:45:43,60.4167,134.5333,-10.08,95,99,0.74
206,Hami,CN,2022-11-09 00:45:44,42.8,93.45,43.43,34,9,2.28
207,Bengkulu,ID,2022-11-09 00:45:44,-3.8004,102.2655,77.52,86,100,2.98
208,Asau,RO,2022-11-09 00:45:44,46.4333,26.4,32.92,90,14,3.8
209,Te Anau,NZ,2022-11-09 00:45:45,-45.4167,167.7167,66.69,48,100,3.91
210,Flin Flon,CA,2022-11-09 00:45:45,54.7682,-101.865,8.44,78,100,9.22
211,Portoferraio,IT,2022-11-09 00:45:45,42.8115,10.3146,65.57,71,10,15.64
212,Cherskiy,RU,2022-11-09 00:45:46,68.75,161.3,-7.17,99,96,4.14
213,Port Elizabeth,ZA,2022-11-09 00:45:46,-33.918,25.5701,66.09,80,100,12.66
214,Saint Anthony,US,2022-11-09 00:45:46,45.0205,-93.218,46.98,82,100,19.57
215,Mount Isa,AU,2022-11-09 00:45:47,-20.7333,139.5,98.37,23,5,14.97
216,Lokot,RU,2022-11-09 00:45:47,52.565,34.5776,40.64,95,99,6.55
217,Ajaccio,FR,2022-11-09 00:45:47,42.0,8.9167,53.65,82,0,8.05
218,Magalia,US,2022-11-09 00:43:02,39.8121,-121.5783,40.55,89,100,1.01
219,Navolato,MX,2022-11-09 00:45:48,24.7672,-107.6944,82.58,84,1,7.07
220,Manjacaze,MZ,2022-11-09 00:45:48,-24.7117,33.8828,75.58,74,100,8.01
221,La Peca,PE,2022-11-09 00:45:49,-5.6111,-78.435,72.84,68,16,4.18
222,Castro,BR,2022-11-09 00:45:49,-24.7911,-50.0119,55.76,75,28,2.98
223,Sao Jose Da Coroa Grande,BR,2022-11-09 00:45:49,-8.8978,-35.1478,76.89,83,3,7.02
224,Berberati,CF,2022-11-09 00:46:50,4.2612,15.7922,69.4,87,95,0.83
225,Bukachacha,RU,2022-11-09 00:46:50,52.9833,116.9167,17.38,62,17,2.48
226,Nakapiripirit,UG,2022-11-09 00:46:50,1.9167,34.7833,68.41,64,100,2.13
227,Kita,ML,2022-11-09 00:46:51,13.0349,-9.4895,71.89,21,99,4.14
228,Katsuura,JP,2022-11-09 00:46:51,35.1333,140.3,62.91,61,100,7.43
229,Haines Junction,CA,2022-11-09 00:46:51,60.7522,-137.5108,10.35,67,12,0.0
230,Airai,TL,2022-11-09 00:46:52,-8.9266,125.4092,73.22,58,66,1.74
231,Dingle,PH,2022-11-09 00:46:52,10.9995,122.6711,83.17,80,46,9.26
232,Santa Isabel,BR,2022-11-09 00:46:52,-23.3156,-46.2214,64.11,96,90,1.74
233,Dudinka,RU,2022-11-09 00:46:53,69.4058,86.1778,-22.0,100,90,4.29
234,Nizhniy Odes,RU,2022-11-09 00:46:53,63.6445,54.856,32.02,99,100,3.98
235,Bandar-E Anzali,IR,2022-11-09 00:46:53,37.4727,49.4622,48.31,80,0,3.02
236,Inirida,CO,2022-11-09 00:46:54,3.8653,-67.9239,74.48,95,100,2.64
237,Puerto Del Rosario,ES,2022-11-09 00:46:54,28.5004,-13.8627,69.55,88,20,11.5
238,Provideniya,RU,2022-11-09 00:46:54,64.3833,-173.3,30.31,69,100,15.66
239,Arraial Do Cabo,BR,2022-11-09 00:46:55,-22.9661,-42.0278,67.96,94,100,2.3
240,Pangnirtung,CA,2022-11-09 00:46:55,66.1451,-65.7125,9.57,69,100,3.67
241,Opuwo,NA,2022-11-09 00:44:09,-18.0607,13.84,62.78,42,0,4.05
242,Kavieng,PG,2022-11-09 00:46:55,-2.5744,150.7967,85.28,69,100,7.54
243,Tabat,ID,2022-11-09 00:46:56,-2.635,115.2274,77.95,91,100,1.14
244,Vigrestad,NO,2022-11-09 00:46:56,58.5667,5.7,53.96,85,100,18.57
245,San Cristobal,VE,2022-11-09 00:46:56,7.7669,-72.225,69.98,97,100,1.28
246,Egvekinot,RU,2022-11-09 00:46:57,66.3167,-179.1667,19.18,82,100,5.32
247,Lishui,CN,2022-11-09 00:46:57,28.4604,119.9103,67.98,69,43,2.71
248,Vila Franca Do Campo,PT,2022-11-09 00:46:57,37.7167,-25.4333,64.81,83,72,6.51
249,Muravlenko,RU,2022-11-09 00:46:58,63.7898,74.523,10.27,96,77,7.81
250,Lompoc,US,2022-11-09 00:46:58,34.6391,-120.4579,56.84,88,100,6.91
251,Quthing,LS,2022-11-09 00:46:58,-30.4,27.7003,54.19,86,6,2.04
252,Baruun-Urt,MN,2022-11-09 00:46:59,46.6806,113.2792,30.43,62,100,7.49
253,Pirot,RS,2022-11-09 00:46:59,43.1531,22.5861,47.75,89,5,3.11
254,Torbay,CA,2022-11-09 00:46:59,47.6666,-52.7314,41.76,86,100,25.32
255,Tigil,RU,2022-11-09 00:47:00,57.8,158.6667,24.44,94,100,11.95
256,Gurgaon,IN,2022-11-09 00:47:00,28.4667,77.0333,68.04,73,40,0.0
257,Biak,ID,2022-11-09 00:47:00,-0.9131,122.8766,81.77,70,100,1.36
258,Minab,IR,2022-11-09 00:47:01,27.1467,57.0801,78.35,66,40,2.82
259,Linxia,CN,2022-11-09 00:47:01,35.6003,103.2064,45.45,69,17,1.05
260,Salinas,US,2022-11-09 00:47:01,36.6777,-121.6555,54.12,68,40,8.05
261,Yingcheng,CN,2022-11-09 00:47:02,30.95,113.55,68.16,45,70,4.27
262,Nodeland,NO,2022-11-09 00:47:03,58.1552,7.8358,53.69,96,100,9.22
263,Tatawin,TN,2022-11-09 00:47:03,32.9297,10.4518,61.29,26,14,6.22
264,Kwinana,AU,2022-11-09 00:47:04,-32.25,115.7667,71.19,77,1,1.99
265,Puerto Maldonado,PE,2022-11-09 00:47:04,-12.6,-69.1833,77.25,56,13,2.46
266,Dunedin,NZ,2022-11-09 00:46:56,-45.8742,170.5036,61.3,65,100,7.05
267,Teknaf,BD,2022-11-09 00:47:05,20.8624,92.3058,71.92,80,1,5.35
268,Tuatapere,NZ,2022-11-09 00:47:05,-46.1333,167.6833,60.71,68,88,12.44
269,Raton,US,2022-11-09 00:47:05,36.9034,-104.4391,59.34,62,0,21.85
270,Baykit,RU,2022-11-09 00:47:06,61.67,96.37,17.24,96,100,4.76
271,Keti Bandar,PK,2022-11-09 00:48:06,24.1447,67.4497,76.98,65,2,5.59
272,Dandong,CN,2022-11-09 00:48:07,40.1292,124.3947,51.51,74,60,5.75
273,Ligayan,PH,2022-11-09 00:48:07,4.6533,119.4706,82.49,73,100,1.66
274,Kenai,US,2022-11-09 00:48:07,60.5544,-151.2583,34.14,86,100,14.97
275,Gizo,SB,2022-11-09 00:48:08,-8.103,156.8419,84.0,74,99,14.03
276,Dicabisagan,PH,2022-11-09 00:48:08,17.0818,122.4157,82.94,73,94,4.59
277,Seoul,KR,2022-11-09 00:47:33,37.5683,126.9778,49.44,94,40,2.3
278,Sabang,ID,2022-11-09 00:48:09,5.8933,95.3214,80.8,75,100,6.58
